PII nr 0 True entity idx (action) in pool: 0 
 Action 4, score:  4.503561285673641e-05
 Action 3, score:  4.507086123339832e-05
 Action 3, score:  4.5024033170193434e-05
 Action 1, score:  4.5013097405899316e-05
 Action 3, score:  4.502662341110408e-05
 Action 4, score:  4.501556031755172e-05
 Action 1, score:  4.5019376557320356e-05
 Action 0, score:  4.502684896579012e-05
 Action 5, score:  4.5032764319330454e-05
 Action 0, score:  4.50291954621207e-05
 Action 3, score:  4.502982847043313e-05
 Action 2, score:  4.5002852857578546e-05
 Action 1, score:  4.5002903789281845e-05
 Action 1, score:  4.501650983002037e-05
 Action 1, score:  4.501091825659387e-05
 Action 3, score:  4.500368959270418e-05
 Action 4, score:  4.501310468185693e-05
 Action 4, score:  4.501527291722596e-05
 Action 5, score:  4.5005366700934246e-05
 Action 3, score:  4.5011045585852116e-05
 Action 3, score:  4.5004191633779556e-05
 Action 2, score:  4.501116200117394e-05
 Action 1, score:  4.5011947804596275e-05
 Action 3, score:  4.501205694396049e-05
 Action 3, score:  4.5015476644039154e-05
 Action 3, score:  4.501579678617418e-05
 Action 1, score:  4.501580406213179e-05
 Action 1, score:  4.501576768234372e-05
 Action 2, score:  4.501586954575032e-05
 Action 1, score:  4.5015825890004635e-05
 Action 1, score:  4.5015887735644355e-05
 Action 2, score:  4.5015825890004635e-05
 Action 1, score:  4.501576768234372e-05
 Action 0, score:  4.5015825890004635e-05
 Action 5, score:  4.501576768234372e-05
 Action 5, score:  4.5015913201496005e-05
 Action 5, score:  4.501576768234372e-05
 Action 3, score:  4.5015811338089406e-05
 Action 1, score:  4.5015811338089406e-05
 Action 1, score:  4.5015825890004635e-05
 Action 3, score:  4.5015811338089406e-05
 Action 1, score:  4.5015811338089406e-05
 Action 1, score:  4.5015811338089406e-05
 Action 3, score:  4.5015825890004635e-05
 Action 1, score:  4.501576768234372e-05
 Action 3, score:  4.501585499383509e-05
 Action 2, score:  4.5015825890004635e-05
 Action 4, score:  4.5015825890004635e-05
 Action 1, score:  4.5015825890004635e-05
 Action 1, score:  4.5015825890004635e-05
 Action 1, score:  4.5015811338089406e-05
 Action 5, score:  4.5015825890004635e-05
 Action 1, score:  4.501574221649207e-05
 Action 3, score:  4.5015811338089406e-05
 Action 5, score:  4.501585499383509e-05
 Action 5, score:  4.501578223425895e-05
 Action 1, score:  4.5015811338089406e-05
 Action 2, score:  4.5015811338089406e-05
 Action 0, score:  4.501578223425895e-05
 Action 1, score:  4.501569856074639e-05
 Action 1, score:  4.501576768234372e-05
 Action 0, score:  4.501585499383509e-05
 Action 5, score:  4.5015825890004635e-05
 Action 3, score:  4.5015811338089406e-05
PII nr 6 True entity idx (action) in pool: 0 
 Action 2, score:  2.605099075481121e-05
 Action 5, score:  2.6440345391165464e-05
 Action 3, score:  3.408401244087145e-05
 Action 3, score:  2.082956962112803e-05
 Action 4, score:  1.728406823531259e-05
 Action 4, score:  2.3845414034440182e-05
 Action 0, score:  2.170072834165434e-05
 Action 0, score:  2.7255096678605435e-05
 Action 1, score:  2.128493568826733e-05
 Action 5, score:  2.1369151363614945e-05
 Action 1, score:  2.051731306502396e-05
 Action 5, score:  2.12671124505245e-05
 Action 2, score:  2.0579196383810734e-05
 Action 1, score:  2.1102339815115556e-05
 Action 1, score:  2.1234167694014366e-05
 Action 1, score:  2.1057167811834787e-05
 Action 0, score:  2.129278150927608e-05
 Action 0, score:  2.102676262438763e-05
 Action 2, score:  2.1322366592357866e-05
 Action 2, score:  2.1273610140529593e-05
 Action 4, score:  2.1212920598502804e-05
 Action 3, score:  2.1240680455645944e-05
 Action 3, score:  2.108343843636768e-05
 Action 2, score:  2.1154974612207817e-05
 Action 0, score:  2.127473557525913e-05
 Action 0, score:  2.1340550509713857e-05
 Action 3, score:  2.1157297721531775e-05
 Action 4, score:  2.1105003075457978e-05
 Action 1, score:  2.108252582339836e-05
 Action 4, score:  2.111348216463479e-05
 Action 0, score:  2.115858400689571e-05
 Action 1, score:  2.116416414667453e-05
 Action 3, score:  2.117441727023106e-05
 Action 5, score:  2.1144969390921426e-05
 Action 1, score:  2.114997109206992e-05
 Action 5, score:  2.1163931835742134e-05
 Action 3, score:  2.1160822663140217e-05
 Action 3, score:  2.1154462956474163e-05
 Action 3, score:  2.116287396347616e-05
 Action 1, score:  2.1160253839168164e-05
 Action 4, score:  2.1167744437531966e-05
 Action 2, score:  2.1166615104967995e-05
 Action 1, score:  2.11643166819288e-05
 Action 3, score:  2.116295607785495e-05
 Action 3, score:  2.116586698061188e-05
 Action 3, score:  2.116264814893449e-05
